Matchup,Projected Score,Model Total,Market Total,O/U Pick,Total Diff
HOU @ IND,HOU 24.5 - IND 24.7,49.3,43.5,OVER,5.8
SEA @ WAS,SEA 26.0 - WAS 19.4,45.4,40.5,OVER,4.9
CAR @ CLE,CAR 22.4 - CLE 24.2,46.6,42.5,OVER,4.1
NE @ JAX,NE 20.4 - JAX 21.3,41.7,45.5,UNDER,3.8
PHI @ CHI,PHI 23.3 - CHI 24.0,47.2,43.5,OVER,3.7
