Matchup,Projected Score,Model Spread,Market Spread,ATS Pick,ATS Diff
KC @ MIA,KC 25.6 - MIA 20.2,KC -5.4,KC -11.5,MIA +11.5,6.1
CAR @ CLE,CAR 22.4 - CLE 24.2,CLE -1.7,CAR -2.5,CLE +2.5,4.24
PHI @ CHI,PHI 23.3 - CHI 24.0,CHI -0.7,PHI -3.5,CHI +3.5,4.23
CIN @ PIT,CIN 21.8 - PIT 22.2,PIT -0.4,CIN -3.5,PIT +3.5,3.93
NYJ @ DET,NYJ 19.6 - DET 29.3,DET -9.7,DET -6.5,DET -6.5,3.21
