Matchup,Preseason Margin,Weekly Margin,Margin Change,SU Pick,Win Prob
LAC @ BUF,6.21,9.92,3.7,BUF,0.758
MIN @ TB,1.89,-1.66,-3.55,MIN,0.546
KC @ MIA,-1.98,-5.4,-3.42,KC,0.648
CIN @ PIT,3.05,0.43,-2.62,PIT,0.512
NYJ @ DET,12.26,9.71,-2.55,DET,0.753
ARI @ SF,7.81,10.25,2.44,SF,0.765
SEA @ WAS,-4.6,-6.51,-1.91,SEA,0.677
PHI @ CHI,-0.74,0.73,1.47,CHI,0.521
HOU @ IND,-0.51,0.22,0.73,IND,0.506
LV @ NO,5.9,5.19,-0.71,NO,0.643
NE @ JAX,1.57,0.94,-0.63,JAX,0.526
LA @ DEN,0.75,0.26,-0.49,DEN,0.507
TEN @ NYG,4.87,5.33,0.45,NYG,0.646
ATL @ GB,5.63,6.06,0.43,GB,0.665
CAR @ CLE,2.15,1.74,-0.41,CLE,0.549
BAL @ DAL,-3.46,-3.27,0.19,BAL,0.591
