Matchup,Projected Score,Model Spread,Market Spread,ATS Pick,ATS Diff
CAR @ ATL,CAR 21.6 - ATL 24.4,ATL -2.7,CAR -2.5,ATL +2.5,5.24
JAX @ DEN,JAX 22.8 - DEN 22.3,JAX -0.4,DEN -2.5,JAX +2.5,2.94
PIT @ NE,PIT 20.3 - NE 23.3,NE -3.0,NE -5.5,PIT +5.5,2.54
DET @ BUF,DET 23.5 - BUF 26.5,BUF -3.0,BUF -5.5,DET +5.5,2.51
MIA @ SF,MIA 17.6 - SF 27.7,SF -10.1,SF -12.5,MIA +12.5,2.44
