Matchup,Projected Score,Model Spread,Market Spread,ATS Pick,ATS Diff
MIA @ LV,MIA 23.8 - LV 22.3,MIA -1.5,LV -3.0,MIA +3.0,4.49
ARI @ LAC,ARI 19.2 - LAC 25.6,LAC -6.4,LAC -9.5,ARI +9.5,3.15
TB @ CIN,TB 23.7 - CIN 24.2,CIN -0.4,CIN -3.5,TB +3.5,3.08
DEN @ KC,DEN 22.8 - KC 22.3,DEN -0.5,KC -2.5,DEN +2.5,3.0
BAL @ IND,BAL 24.4 - IND 23.6,BAL -0.8,BAL -3.5,IND +3.5,2.72
