Matchup,Projected Score,Model Total,Market Total,O/U Pick,Total Diff
MIA @ LV,MIA 23.8 - LV 22.3,46.1,40.5,OVER,5.6
NE @ SEA,NE 22.2 - SEA 26.4,48.5,44.5,OVER,4.0
NO @ DET,NO 19.8 - DET 27.1,46.9,50.5,UNDER,3.6
ARI @ LAC,ARI 19.2 - LAC 25.6,44.8,47.5,UNDER,2.7
CHI @ CAR,CHI 23.3 - CAR 20.6,43.9,46.5,UNDER,2.6
